name,graduate_date,thesis_title,topics,institution,record_url,doi,thesis_pdf,linkedin,orcid,image,summary
Daniel Matthias Julian Felder,2023-08-16,Electrochemical charge transport in organic neuromorphic device networks,electrochemistry; simulation,RWTH,https://publications.rwth-aachen.de/record/964209,10.18154/RWTH-2023-08179,https://publications.rwth-aachen.de/record/964209/files/964209.pdf,https://www.linkedin.com/in/dnlfelder/,https://orcid.org/0000-0003-0065-7144,,This thesis employs high-resolution charge transport models to explain the electrochemical processes in organic synapses and identify the non-ideal behavior's root causes. Simulations of artificial neural networks show that self-discharge can significantly degrade network performance over single-digit minutes.
Jens Rubner,2023-06-26,Plasma-coated membranes for gas separation,membranes; gas separation; plasma; porous media,RWTH,https://publications.rwth-aachen.de/record/969876,10.18154/RWTH-2023-09417,https://publications.rwth-aachen.de/record/969876/files/969876.pdf,https://www.linkedin.com/in/jens-rubner-2244bb1a3/,https://orcid.org/0000-0002-1008-7176,,This thesis aims to utilize PECVD to produce organosilica films with tailored chemical and permeation properties.
Maren Großeheide,2023-05-25,Investigations of electrochemical $CO_{2}$-reductions from micro- to macroscale,electrochemistry; CO2 reduction; gas diffusion electrodes,RWTH,https://publications.rwth-aachen.de/record/959695,10.18154/RWTH-2023-05787,https://publications.rwth-aachen.de/record/959695/files/959695.pdf,,,,"This thesis aims to develop the CO2R process towards industrial application. The process stability regarding Faraday efficiency (FE) of CO and cell voltage (U_cell) was drastically improved and it was found, that the duration of the start-up procedure had a major influence on the resulting FE of CO."
Maik Tepper,2023-04-13,Turbulence promoting microstructures inside hollow fiber membranes by a rotation-in-a-spinneret process,hollow fiber membranes; membranes; filtration; polymers,RWTH,https://publications.rwth-aachen.de/record/960356,10.18154/RWTH-2023-06200,https://publications.rwth-aachen.de/record/960356/files/960356.pdf,https://www.linkedin.com/in/maik-tepper/,https://orcid.org/0000-0001-8489-3384,,"In particular, this thesis presents three approaches to implement rotation in a spinneret."
Patrick Bongartz,2023-02-06,Next generation bioreactor design for gas fermentation,bioreactors; membranes; simulation,RWTH,https://publications.rwth-aachen.de/record/960419,10.18154/RWTH-2023-06246,https://publications.rwth-aachen.de/record/960419/files/960419.pdf,https://www.linkedin.com/in/patrick-bongartz-1106/,https://orcid.org/0000-0002-2240-2671,,"To overcome this challenges, aim of this work is the development of a technology for the bubble-free aeration of microbial fermentations. This cell-retention enables the direct, in-line transfer of the fermentation broth to a solvent extraction setup."
Alexander Heinrich Limper,2022-11-02,Fabrication and control of multi-level porosity in metal mixer electrodes,electrochemistry; porous media; polymers; water treatment,RWTH,https://publications.rwth-aachen.de/record/856694,10.18154/RWTH-2022-11050,https://publications.rwth-aachen.de/record/856694/files/856694.pdf,https://www.linkedin.com/in/alexander-limper/,,,This thesis thus firstly aims to develop concepts for the fabrication of 3D-structured porous electrodes that improve the mass transport in the reactor by passive mixing. The feasibility of this functionalization method was demonstrated on a mixer electrode from SLM and showed extremely high potential for the efficient degradation of…
Ilka Isabelle Rose,2022-09-15,Blood compatible membranes through surface functionalization,membranes; tissue engineering; hollow fiber membranes; polymers,RWTH,https://publications.rwth-aachen.de/record/943024,10.18154/RWTH-2023-01363,https://publications.rwth-aachen.de/record/943024/files/943024.pdf,,,,"For this purpose, conventional polyethersulfone dialysis membranes are functionalized subsequently or during membrane production for subsequent heparinization without adversely affecting the membrane properties. X-ray photoelectronspectroscopy and thermogravimetric analyses demonstrate the in-situ functionalization with polydopamine."
Anna Maria Kalde,2022-07-07,Interactive porous networks for immiscible fluid-fluid displacement,porous media; microfluidics; polyelectrolytes; visualization,RWTH,https://publications.rwth-aachen.de/record/861369,10.18154/RWTH-2022-11780,https://publications.rwth-aachen.de/record/861369/files/861369.pdf,https://www.linkedin.com/in/dr-anna-kalde-38b99714a/,https://orcid.org/0000-0002-5706-1547,/images/graduates/anna-maria-kalde.jpg,"This thesis aims to broaden the understanding of fluid-fluid displacement flow communication at a multi-pore scale while resolving displacement dynamics down to a sub-pore scale. Finally, the study on hydrogels demonstrated the potential of hydrogel pillar arrays serving as devices for biomedical applications in chromatography or lateral…"
Denis Mathias Wypysek,2022-07-06,Visualization of complex flow phenomena in multichannel membrane modules,membranes; visualization; MRI; filtration,RWTH,https://publications.rwth-aachen.de/record/861122,10.18154/RWTH-2022-11651,https://publications.rwth-aachen.de/record/861122/files/861122.pdf,,,,This thesis revealed that small deviations from the ideal membrane position inside a membrane module highly influence its flow field and filtration behavior. This study shows that the combination of magnetic resonance imaging and computational fluid dynamics is a powerful tool to unravel the hydrodynamic behavior of multichannel…
Arne Can Lüken,2022-06-29,From soft matter filtration processes to microfluidic filter cake visualization,filtration; microfluidics; visualization; membranes,RWTH,https://publications.rwth-aachen.de/record/849734,10.18154/RWTH-2022-07003,https://publications.rwth-aachen.de/record/849734/files/849734.pdf,https://www.linkedin.com/in/arne-lüken-80456089/,https://orcid.org/0000-0002-4801-8360,,This thesis aims to provide mechanistic insights into the filtration process by developing experimental methods for microscopic filter cake visualization and applying these methods to analyze colloid and particle interactions in the filter cake during filtration. This thesis developed two devices for visually observing filter cakes: The…
