include,publication_number,title,inventor,assignee,priority_date,filing_date,publication_date,grant_date,language,family_country_status,snippet,google_patents_url,query_hit,notes
,BR112012022443B1,process for the manufacture of a hollow fiber membrane having a support layer ...,Matthias Wessling,Nx Filtration Holding B.V.,2010-03-05,2011-03-04,2021-04-20,,en,BR=ACTIVE,"PROCESS FOR MANUFACTURING A HOLLOW FIBER MEMBRANE HAVING A SUPPORT LAYER AND A SEPARATION LAYER, HOLLOW FIBER MEMBRANE AND USE OF HOLLOW FIBER MEMBRANE The present invention relates to a process for manufacturing a hollow fiber membrane which it has a supporting layer and a separating layer, in ...",https://patents.google.com/patent/BR112012022443B1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,WO2010143945A1,Method and device for membrane cleaning in electro-membrane processes,Matthias Wessling,Stichting Wetsus Centre Of Excellence For Sustainable Water Technology,2009-06-08,2010-06-03,2010-12-16,,en,WO=NOT_ACTIVE;NL=NOT_ACTIVE,The invention relates to a method for membrane cleaning and a device wherein this method can be applied. The method comprises the steps of : -operating a device for performing an electro-membrane process; and -applying inverse electrical pulses to the device. The device comprises a number of anode ...,https://patents.google.com/patent/WO2010143945A1/en,inventor=Matthias+Wessling,
,NL2002984C2,Method and device for membrane cleaning in electro-membrane processes.,Matthias Wessling,Stichting Wetsus Ct Excellence Sustainable Water Technology,2009-06-08,2009-06-08,2010-12-09,2010-12-09,en,WO=NOT_ACTIVE;NL=NOT_ACTIVE,"A method for cleaning membranes, comprising the steps of: 5. operating a device for performing an electro-membrane process; and - applying reverse electrical pulses to the device. The method of claim 1, wherein the reverse electrical pulses are applied to electrodes of the device. 3. Method ...",https://patents.google.com/patent/NL2002984C2/en,"inventor=""Matthias Wessling""",
,WO2010137974A1,Polymer composition comprising a blend of a multi-block thermoplastic elastomer ...,Matthias Wessling,Universiteit Twente,2009-05-25,2010-05-21,2010-12-02,,en,WO=NOT_ACTIVE,"The present invention relates to a polymer composition comprising a blend of a multi-block thermoplastic elastomer comprising alternating hard polymeric blocks and soft polymeric blocks, and a polymer comprising a metal of Group 14 of the Periodic System of the Elements. The present invention also ...",https://patents.google.com/patent/WO2010137974A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,WO2009058015A1,. high throughput screening method and apparatus for analysing interactions ...,Matthias Wessling,Universiteit Twente,2007-11-02,2008-10-31,2009-05-07,,en,WO=NOT_ACTIVE;EP=NOT_ACTIVE;US=NOT_ACTIVE;CN=ACTIVE;JP=ACTIVE;AU=NOT_ACTIVE;CA=NOT_ACTIVE,The invention is directed to a high throughput screening method for analysing and interaction between a surface of a material and an environment. The screening method of the invention comprises: providing a micro-array comprising said material and having a multitude of units at least part of which ...,https://patents.google.com/patent/WO2009058015A1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,EP2136905B1,Ion-permeable membrane and its manufacture,Matthias Wessling,FUMATECH BWT GmbH,2007-04-10,2008-04-10,2017-05-31,2017-05-31,en,WO=NOT_ACTIVE;EP=ACTIVE;US=NOT_ACTIVE;JP=ACTIVE,"Method for production of an ion-permeable membrane, in particular an ion-exchange membrane, which has at least one profiled surface, wherein a shaping element is brought into contact with an uncured polymer film which contains at least one polymer, generating a preferably regular pattern of ...",https://patents.google.com/patent/EP2136905B1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
,US20090217819A1,Gas separation membranes comprising permeability enhancing additives,Matthias Wessling,Matthias Wessling,2006-03-15,2007-03-14,2009-09-03,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=NOT_ACTIVE;AT=NOT_ACTIVE;DE=ACTIVE,"The present invention relates to polymer compositions comprising a (co)polymer comprising (a) an arylene oxide moiety and (b) a dendritic (co)polymer, a hyperbranched (co)polymer or a mixture thereof, and the use of these polymer compositions as membrane materials for the separation of gases. The ...",https://patents.google.com/patent/US20090217819A1/en,"inventor=""Matthias Wessling""",
,EP2021412A1,Gas separation membranes comprising permeability enhancing additives,Matthias Wessling,Stichting Voor De Technische Wetenschappen,2006-03-15,2007-03-14,2009-02-11,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=NOT_ACTIVE;AT=NOT_ACTIVE;DE=ACTIVE,"The present invention relates to polymer compositions comprising a (co)polymer comprising (a) an arylene oxide moiety and (b) a dendritic (co)polymer, a hyperbranched (co)polymer or a mixture thereof, and the use of these polymer compositions as membrane materials for the separation of gases. The ...",https://patents.google.com/patent/EP2021412A1/en,inventor=Matthias+Wessling,
,DE602006013327D1,BIOLOGICAL FUEL CELL,Matthias Wessling,Magneto Special Anodes B V,2005-07-15,2006-07-11,2010-05-12,,en,WO=NOT_ACTIVE;EP=ACTIVE;AT=NOT_ACTIVE;DE=ACTIVE;DK=ACTIVE;NL=NOT_ACTIVE,"The invention concerns a biological fuel cell. The biological fuel cell comprises a number of cathode compartments, provided with a cathode; a number of anode compartments, provided with a anode; and a partition wall separating the cathode- and anode compartments. The biological fuel cell is ...",https://patents.google.com/patent/DE602006013327D1/en,inventor=Matthias+Wessling,Likely national validation/translation of a family member — keep one representative per family if desired
,NL1029544C2,Biological fuel cell.,Matthias Wessling,Magneto Special Anodes B V,2005-07-15,2005-07-15,2007-01-16,2007-01-16,en,WO=NOT_ACTIVE;EP=ACTIVE;AT=NOT_ACTIVE;DE=ACTIVE;DK=ACTIVE;NL=NOT_ACTIVE,"The invention concerns a biological fuel cell. The biological fuel cell comprises a number of cathode compartments, provided with a cathode; a number of anode compartments, provided with a anode; and a partition wall separating the cathode- and anode compartments. The biological fuel cell is ...",https://patents.google.com/patent/NL1029544C2/en,"inventor=""Matthias Wessling""",
