include,publication_number,title,inventor,assignee,priority_date,filing_date,publication_date,grant_date,language,family_country_status,snippet,google_patents_url,query_hit,notes
,EP3981505B1,Membrane with immobilized anticoagulant and process for producing same,Matthias Wessling,Gambro Lundia AB,2020-10-12,2020-10-12,2024-11-27,2024-11-27,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;AU=ACTIVE;CA=ACTIVE,"A porous hollow fiber membrane having an anticoagulant immobilized thereon; the membrane comprising a blend of i) a polysulfone, polyethersulfone or polyarylethersulfone; ii) a polyvinylpyrrolidone; and iii) a chitosan. The membrane of claim 1, wherein the anticoagulant is a glycosaminoglycan. The ...",https://patents.google.com/patent/EP3981505B1/en,"inventor=""Matthias Wessling""",
,WO2022078785A1,Membrane with immobilized anticoagulant and process for producing same,Matthias Wessling,Gambro Lundia Ab,2020-10-12,2021-10-04,2022-04-21,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;AU=ACTIVE;CA=ACTIVE,The present disclosure relates to an anticoagulant-coated microporous hollow fiber membrane showing reduced thrombo- genicity. The disclosure further relates to a method for producing the membrane and a filtration and/or diffusion device comprising the membrane.,https://patents.google.com/patent/WO2022078785A1/en,inventor=Matthias+Wessling,
,EP4192899C0,Method for producing conductive PEDOT:PSS particles,Matthias Wessling,Rwth Aachen,2020-08-10,2021-08-10,2025-05-21,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;DE=NOT_ACTIVE,,https://patents.google.com/patent/EP4192899C0/en,inventor=Matthias+Wessling,
,WO2022034082A1,Method for producing conductive pedot:pss particles,Matthias Wessling,Rheinisch-Westfälische Technische Hochschule (Rwth) Aachen,2020-08-10,2021-08-10,2022-02-17,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;DE=NOT_ACTIVE,"The present invention relates to a method for producing poly(3,4-ethylenedioxythiophene) polystyrene sulfonate (PEDOT:PSS) particles, at least comprising the steps: a) providing a mixture comprising poly(3,4-ethylenedioxythiophene) and polystyrene sulfonate in a solvent at least comprising water;",https://patents.google.com/patent/WO2022034082A1/en,"inventor=""Matthias Wessling""",
,US12458928B2,Method for producing a polyelectrolyte complex membrane,Matthias Wessling,Dwi—Leibniz-Institut Fur Interaktive Materialien E.V.,2020-06-05,2021-06-02,2025-11-04,2025-11-04,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=NOT_ACTIVE;KR=NOT_ACTIVE,"The present invention relates to a method for producing a polyelectrolyte complex (PEC) membrane having a predetermined porosity via salt dilution induced phase separation, in which a liquid polymer solution (P) containing polyanions (A) and polycations (C) dissolved in an aqueous medium at an ...",https://patents.google.com/patent/US12458928B2/en,inventor=Matthias+Wessling,
,EP4161687C0,METHOD FOR THE PRODUCTION OF POLYELECTROLYTE COMPLEX MEMBRANES,Matthias Wessling,Dwi Leibniz Institut Fuer Interaktive Mat E V,2020-06-05,2021-06-02,2024-04-17,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=NOT_ACTIVE;KR=NOT_ACTIVE,,https://patents.google.com/patent/EP4161687C0/en,"inventor=""Matthias Wessling""",
,US12319900B2,Integral gas-introduction and stirring unit for gas-liquid reactors,Matthias Wessling,Rheinisch-Westfälische Technische Hochschule (Rwth) Aachen,2020-01-31,2021-01-29,2025-06-03,2025-06-03,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;CA=ACTIVE;DE=NOT_ACTIVE,"A gassing unit for bubble-free introduction of process gas into a liquid in a reactor, wherein the gassing unit includes at least: first and second spaced apart gas receiving chambers, the two gas receiving chambers connected to one another via at least two two-dimensional, gas-conducting ...",https://patents.google.com/patent/US12319900B2/en,"inventor=""Matthias Wessling""",
,WO2021152128A1,Integral gas-introduction and stirring unit for gas-liquid reactors,Matthias Wessling,Rheinisch-Westfälische Technische Hochschule (Rwth) Aachen,2020-01-31,2021-01-29,2021-08-05,,en,WO=NOT_ACTIVE;EP=ACTIVE;US=ACTIVE;CN=ACTIVE;JP=ACTIVE;KR=ACTIVE;CA=ACTIVE;DE=NOT_ACTIVE,The invention relates to a gas-introduction unit for introducing a process gas into a liquid located in a reactor without producing bubbles. The gas-introduction unit at least comprises: - a first gas receiving chamber and a second gas receiving chamber at a distance therefrom for receiving a ...,https://patents.google.com/patent/WO2021152128A1/en,inventor=Matthias+Wessling,
,EP3866957C0,METHOD FOR PRODUCING THE MEMBRANE SYSTEM,Matthias Wessling,Dwi Leibniz Institut Fuer Interaktive Mat E V,2019-10-16,2020-10-14,2024-07-24,,en,WO=NOT_ACTIVE;EP=ACTIVE;CN=ACTIVE;KR=ACTIVE,,https://patents.google.com/patent/EP3866957C0/en,inventor=Matthias+Wessling,
,EP3946701B1,Method for the manufacture of a membrane system,Matthias Wessling,DWI - Leibniz-Institut für Interaktive Materialien e.V.,2019-10-16,2020-10-14,2023-06-07,2023-06-07,en,WO=NOT_ACTIVE;EP=ACTIVE;CN=ACTIVE;KR=ACTIVE,"A method for forming a membrane system having the form of a flat sheet or a tube, including (a) a porous membrane formed from at least one first polymer; and (b) particles of at least one second polymer different from the first polymer, wherein the porous membrane (a) has the particles (b) ...",https://patents.google.com/patent/EP3946701B1/en,"inventor=Matthias+Wessling | inventor=""Matthias Wessling""",
